siec,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
G3000,PC,LV	107.593 	100.000 	123.720 	66.786 	98.248 	98.963 	100.089 	99.397 	106.389 	103.614 	101.913 	85.605 	88.565 	104.353 	130.487 	105.606 	108.769 	96.765 	82.162 	114.062 	61.779 	109.413 	113.794 	115.588 	72.123 	98.565 	82.892 	101.989 	98.834 	100.032 	100.099 
G3000,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
G3000,PC,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	102.599 	101.428 	99.285 	99.851 	100.375 	100.032 	100.147 	99.520 	100.448 	100.100 	99.978 	99.867 	100.090 	100.000 	100.000 	100.066 	99.865 	100.019 	100.000 	100.076 	100.062 	99.965 	99.992 
G3000,PC,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	105.197 	109.481 	103.623 	96.165 
G3000,PC,NL	-77.443 	-79.393 	-85.987 	-84.143 	-79.452 	-76.444 	-81.287 	-70.611 	-63.852 	-56.506 	-49.096 	-56.229 	-51.535 	-45.025 	-67.635 	-59.277 	-61.701 	-63.574 	-72.908 	-60.458 	-60.423 	-68.143 	-75.970 	-86.935 	-74.846 	-36.656 	-32.799 	-4.364 	14.959 	25.948 	45.032 
G3000,PC,NO	-1122.013 	-1137.694 	-695.707 	-587.389 	-602.034 	-716.334 	-1131.685 	-945.973 	-860.513 	-828.006 	-1016.692 	-708.709 	-1298.906 	-1181.816 	-1627.512 	-1743.107 	-1801.847 	-1504.252 	-1152.836 	-1228.820 	-1385.840 	-1687.439 	-1750.069 	-1614.268 	-1571.275 	-1552.299 	-1722.399 	-2069.521 	-1820.885 	-1905.009 	-2031.075 
G3000,PC,PL	75.777 	68.509 	68.670 	57.278 	60.609 	64.594 	66.685 	69.901 	67.838 	67.183 	66.337 	69.176 	66.059 	66.592 	68.342 	69.732 	70.732 	66.022 	72.614 	67.345 	69.305 	75.097 	73.396 	74.202 	71.971 	72.206 	78.378 	77.772 	77.602 	82.370 	78.252 
G3000,PC,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	114.484 	100.000 	100.400 	100.265 	99.869 	99.904 	100.267 	100.037 	103.794 	100.606 	98.748 	100.141 	101.166 	100.366 	101.559 	99.734 	101.519 	100.036 	100.357 	98.571 	100.418 	101.057 	99.930 	99.280 
G3000,PC,RO	20.555 	15.716 	16.906 	17.745 	20.127 	24.919 	29.119 	25.288 	25.594 	18.489 	19.823 	17.515 	22.965 	28.765 	29.500 	30.096 	33.743 	30.286 	29.039 	15.104 	16.831 	22.186 	21.317 	11.843 	4.976 	1.802 	13.025 	9.697 	12.026 	23.175 	16.634 
G3000,PC,RS	79.609 	75.745 	69.645 	51.352 	44.828 	49.730 	77.135 	77.819 	72.568 	59.973 	59.332 	73.728 	79.073 	83.794 	88.887 	88.262 	88.160 	89.928 	89.288 	90.409 	84.541 	73.136 	84.937 	80.519 	69.021 	79.165 	75.579 	82.087 	82.108 	90.387 	79.643 
G3000,PC,SE	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
G3000,PC,SI	94.806 	96.458 	97.639 	96.916 	100.468 	100.594 	98.472 	98.702 	99.163 	99.428 	99.268 	99.393 	99.371 	99.528 	99.519 	99.630 	99.618 	99.718 	99.706 	99.690 	99.305 	99.767 	99.758 	99.627 	99.588 	99.612 	99.393 	99.028 	98.119 	99.201 	99.371 
G3000,PC,SK	105.211 	94.468 	96.257 	86.192 	91.373 	86.794 	92.070 	92.528 	94.462 	91.386 	98.796 	91.851 	100.063 	97.049 	103.261 	97.481 	96.560 	97.864 	96.311 	108.579 	99.925 	104.800 	89.813 	95.337 	104.812 	95.052 	92.848 	105.587 	89.556 	136.632 	88.052 
G3000,PC,TR	93.916 	95.232 	95.749 	96.194 	96.722 	97.894 	97.938 	97.999 	94.569 	95.009 	95.358 	98.846 	97.319 	97.528 	96.863 	97.112 	96.942 	97.842 	100.200 	100.083 	98.059 	96.600 	100.116 	97.755 	99.588 	99.947 	98.293 	101.663 	99.583 	98.788 	98.580 
G3000,PC,UK	13.088 	10.952 	9.253 	5.586 	3.019 	0.977 	0.469 	-0.772 	-2.049 	-6.578 	-10.653 	-9.625 	-8.134 	-8.176 	1.669 	6.988 	11.784 	20.287 	26.103 	33.168 	39.970 	46.231 	49.268 	51.591 	46.612 	43.346 	46.024 	45.160 	49.358 	49.837 	: 
G3000,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
O4000XBIO,PC,AL	0.904 	-8.737 	-1.896 	2.816 	9.610 	15.456 	18.329 	24.528 	32.004 	68.149 	69.526 	71.513 	69.848 	72.627 	69.859 	72.185 	58.682 	57.810 	62.829 	61.658 	47.637 	30.864 	2.005 	26.113 	23.111 	6.395 	26.408 	40.254 	33.284 	28.314 	37.374 
O4000XBIO,PC,AT	90.207 	87.415 	89.055 	85.891 	89.707 	89.325 	90.894 	90.163 	93.634 	91.018 	89.043 	89.079 	93.789 	93.570 	93.687 	92.053 	95.689 	91.962 	92.867 	91.546 	90.404 	92.308 	92.243 	92.440 	91.418 	93.835 	91.802 	92.212 	93.985 	95.653 	97.468 
O4000XBIO,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.591 	104.760 	104.837 	100.316 	97.049 	93.188 	99.810 
