sex,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
T,Y25-74,PC_ACT,DK	: 	: 	: 	: 	: 	: 	5.1 	6.4 	6.2 	6.4 	6.1 	5.7 	5.3 	4.9 b	4.7 b	4.2 	4.2 	4.7 	4.1 
T,Y25-74,PC_ACT,EE	: 	: 	: 	: 	: 	: 	11.9 	14.8 	11.2 	8.8 	7.6 	6.6 	5.7 	6.2 	5.2 	4.8 	3.9 	6.0 	5.4 
T,Y25-74,PC_ACT,EL	: 	: 	: 	: 	: 	: 	8.4 	11.3 	16.1 	22.5 	25.6 	24.8 	23.3 	22.4 	20.5 	18.5 	16.8 	16.6 	13.7 
T,Y25-74,PC_ACT,ES	: 	: 	: 	: 	: 	: 	15.7 	17.8 	19.2 	22.5 	23.8 	22.3 	20.2 	17.9 	15.7 	13.9 	12.8 	14.0 	13.4 d
T,Y25-74,PC_ACT,FI	: 	: 	: 	: 	: 	: 	6.5 	6.7 	6.3 	6.2 	6.6 	7.1 	7.6 	7.3 	7.2 	6.1 	5.3 	6.0 	6.5 
T,Y25-74,PC_ACT,FR	7.1 	7.3 	7.3 	7.1 	6.5 	5.9 	7.2 	7.5 	7.6 	8.1 	8.6 	8.7 	8.7 	8.4 	7.9 	7.6 	7.1 	6.6 	6.6 d
T,Y25-74,PC_ACT,HR	: 	: 	: 	: 	: 	: 	7.5 	9.5 	11.6 	13.7 	14.4 	14.6 	13.8 	11.2 	9.6 	7.0 	5.7 	6.4 	6.4 
T,Y25-74,PC_ACT,HU	: 	: 	: 	: 	: 	: 	8.5 	9.7 	9.6 	9.4 	8.6 	6.5 	5.8 	4.3 	3.5 	3.1 	2.7 	3.5 	3.4 
T,Y25-74,PC_ACT,IE	: 	: 	: 	: 	: 	: 	10.3 	12.3 	13.2 	13.2 	11.9 	10.3 	8.5 	7.2 	5.7 	4.7 	4.0 	4.6 	5.0 
T,Y25-74,PC_ACT,IT	: 	: 	: 	: 	: 	: 	6.5 	7.1 	7.1 	9.1 	10.5 	10.8 	10.2 	10.1 	9.8 	9.2 	8.7 	8.1 	8.3 
T,Y25-74,PC_ACT,LT	: 	: 	: 	: 	: 	: 	12.2 	16.1 	13.9 	12.2 	10.9 	9.9 	8.5 	7.3 	6.6 	5.8 	5.8 	7.7 	6.6 
T,Y25-74,PC_ACT,LU	: 	: 	: 	: 	: 	: 	4.1 	3.7 	4.1 	4.2 	5.2 	4.8 	5.7 b	5.3 	4.7 	4.9 	4.6 	5.5 	4.3 
T,Y25-74,PC_ACT,LV	: 	: 	: 	: 	: 	: 	15.5 	17.6 	14.7 	13.7 	10.8 	10.0 	9.3 	9.1 	8.1 	7.1 	5.9 	7.7 	7.1 
T,Y25-74,PC_ACT,MT	: 	: 	: 	: 	: 	: 	5.3 	5.6 	5.0 	4.8 	4.9 	4.7 	4.4 	3.8 	3.1 	2.9 	2.9 	3.6 	2.9 
T,Y25-74,PC_ACT,NL	: 	: 	: 	: 	: 	: 	4.1 	4.7 	4.9 	5.6 	7.0 	7.3 	6.9 	5.9 	4.9 	4.0 	3.6 	3.7 	3.2 
T,Y25-74,PC_ACT,PL	: 	: 	: 	: 	: 	: 	7.0 	8.4 b	8.2 	8.7 	9.0 	7.8 	6.5 	5.3 	4.1 	3.2 	2.8 	2.7 	2.8 
T,Y25-74,PC_ACT,PT	: 	: 	: 	: 	: 	: 	9.7 	11.1 	11.9 	14.7 	15.4 	12.9 	11.5 	10.2 	8.0 	6.2 	5.8 	5.9 	5.5 
T,Y25-74,PC_ACT,RO	: 	: 	: 	: 	: 	: 	6.8 	7.3 	7.3 	7.0 	7.3 	6.9 	6.9 	5.9 	4.9 	4.2 	3.8 	5.0 	4.5 
T,Y25-74,PC_ACT,SE	: 	: 	: 	: 	: 	: 	6.2 	6.5 	5.8 	5.9 	6.0 	6.0 	5.8 	5.6 	5.5 	5.2 b	5.3 	6.7 	6.8 
T,Y25-74,PC_ACT,SI	: 	: 	: 	: 	: 	: 	5.0 	6.5 	7.5 	7.9 	9.2 	8.9 	8.4 	7.5 	6.2 	4.8 	4.2 	4.4 	4.2 
T,Y25-74,PC_ACT,SK	: 	: 	: 	: 	: 	: 	10.3 	12.3 	11.6 b	12.0 	12.3 	11.6 	10.1 	8.5 	7.2 	5.8 	5.0 	5.8 	6.1 
