date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2001-01-01,KWT,23.0,31.0,-8.0,68.0,77.0,-9.0,91.0,108.0,-17.0
2001-01-01,KGZ,1917.0,74.0,1843.0,1506.0,419.0,1087.0,3423.0,493.0,2930.0
2001-01-01,LBN,240.0,305.0,-65.0,2836.0,1543.0,1293.0,3076.0,1848.0,1228.0
2001-01-01,PAK,284.0,196.0,88.0,3299.0,2376.0,923.0,3583.0,2572.0,1011.0
2001-01-01,PHL,477.0,361.0,116.0,1979.0,1151.0,828.0,2456.0,1512.0,944.0
2001-01-01,KOR,127.0,95.0,32.0,2817.0,1976.0,841.0,2944.0,2071.0,873.0
2001-01-01,ARE,219.0,310.0,-91.0,356.0,150.0,206.0,575.0,460.0,115.0
2001-01-01,T,61.0,5.0,56.0,120.0,56.0,64.0,181.0,61.0,120.0
2001-01-01,Saudi-Arabien,182.0,144.0,38.0,290.0,169.0,121.0,472.0,313.0,159.0
2001-01-01,Singapur,504.0,420.0,84.0,395.0,295.0,100.0,899.0,715.0,184.0
2001-01-01,Syrien,148.0,105.0,43.0,4028.0,971.0,3057.0,4176.0,1076.0,3100.0
2001-01-01,Thailand,698.0,621.0,77.0,6695.0,2516.0,4179.0,7393.0,3137.0,4256.0
2001-01-01,Usbekistan,933.0,17.0,916.0,1432.0,318.0,1114.0,2365.0,335.0,2030.0
2001-01-01,China,801.0,864.0,-63.0,19951.0,5962.0,13989.0,20752.0,6826.0,13926.0
2001-01-01,Übriges Asien,882.0,566.0,316.0,6803.0,5113.0,1690.0,7685.0,5679.0,2006.0
2001-01-01,Australien,1126.0,1614.0,-488.0,2189.0,1712.0,477.0,3315.0,3326.0,-11.0
2001-01-01,Neuseeland,338.0,393.0,-55.0,461.0,307.0,154.0,799.0,700.0,99.0
2001-01-01,Übriges Ozeanien,92.0,84.0,8.0,63.0,78.0,-15.0,155.0,162.0,-7.0
2001-01-01,Unbekanntes Ausland,196.0,3881.0,-3685.0,4104.0,6096.0,-1992.0,4300.0,9977.0,-5677.0
2001-01-01,Ungeklärt / Ohne Angabe,8096.0,8072.0,24.0,2460.0,6187.0,-3727.0,10556.0,14259.0,-3703.0
2001-01-01,Insgesamt,193958.0,109507.0,84451.0,685259.0,496987.0,188272.0,879217.0,606494.0,272723.0
2002-01-01,ALB,37.0,30.0,7.0,1461.0,939.0,522.0,1498.0,969.0,529.0
2002-01-01,BIH,96.0,85.0,11.0,10470.0,9108.0,1362.0,10566.0,9193.0,1373.0
2002-01-01,AND,8.0,17.0,-9.0,8.0,9.0,-1.0,16.0,26.0,-10.0
2002-01-01,BEL,1960.0,2465.0,-505.0,2479.0,2100.0,379.0,4439.0,4565.0,-126.0
2002-01-01,BGR,190.0,120.0,70.0,13040.0,8562.0,4478.0,13230.0,8682.0,4548.0
2002-01-01,DNK,595.0,724.0,-129.0,2294.0,2250.0,44.0,2889.0,2974.0,-85.0
2002-01-01,EST,105.0,43.0,62.0,886.0,571.0,315.0,991.0,614.0,377.0
2002-01-01,FIN,177.0,262.0,-85.0,2026.0,2396.0,-370.0,2203.0,2658.0,-455.0
